custom_id,alt,FIRST,PURPOSE,LUGGAGE,DEST,CHOICE,MALE,GROUP,SURVEY,TICKET,AGE,ID,SP,GA,WHO,INCOME,ORIGIN,TIME,COST,HEADWAY,SEATS,AV
0,CAR,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,135,80,0,0,1
0,SM,0,1,1,2,TRUE,1,2,0,1,2,4,1,0,1,3,19,65,45,10,0,1
0,TRAIN,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,138,40,30,0,1
1,CAR,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,175,130,0,0,1
1,SM,0,1,1,2,TRUE,1,2,0,1,2,4,1,0,1,3,19,61,52,10,1,1
1,TRAIN,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,138,40,120,0,1
2,CAR,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,175,100,0,0,1
2,SM,0,1,1,2,TRUE,1,2,0,1,2,4,1,0,1,3,19,58,49,20,0,1
2,TRAIN,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,138,36,30,0,1
3,CAR,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,108,130,0,0,1
3,SM,0,1,1,2,TRUE,1,2,0,1,2,4,1,0,1,3,19,58,49,30,1,1
3,TRAIN,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,105,36,60,0,1
4,CAR,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,175,80,0,0,1
4,SM,0,1,1,2,TRUE,1,2,0,1,2,4,1,0,1,3,19,58,46,30,1,1
4,TRAIN,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,116,40,30,0,1
5,CAR,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,108,100,0,0,1
5,SM,0,1,1,2,TRUE,1,2,0,1,2,4,1,0,1,3,19,61,42,10,1,1
5,TRAIN,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,116,36,30,0,1
6,CAR,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,108,80,0,0,1
6,SM,0,1,1,2,TRUE,1,2,0,1,2,4,1,0,1,3,19,58,50,20,0,1
6,TRAIN,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,116,48,60,0,1
7,CAR,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,108,130,0,0,1
7,SM,0,1,1,2,TRUE,1,2,0,1,2,4,1,0,1,3,19,61,52,30,0,1
7,TRAIN,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,138,48,30,0,1
8,CAR,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,135,100,0,0,1
8,SM,0,1,1,2,TRUE,1,2,0,1,2,4,1,0,1,3,19,61,52,30,0,1
8,TRAIN,0,1,1,2,FALSE,1,2,0,1,2,4,1,0,1,3,19,116,40,60,0,1
9,CAR,0,1,1,17,FALSE,1,2,0,1,2,5,1,0,1,3,21,0,0,0,0,0
9,SM,0,1,1,17,TRUE,1,2,0,1,2,5,1,0,1,3,21,216,72,20,0,1
9,TRAIN,0,1,1,17,FALSE,1,2,0,1,2,5,1,0,1,3,21,269,70,120,0,1
10,CAR,0,1,1,17,FALSE,1,2,0,1,2,5,1,0,1,3,21,0,0,0,0,0
10,SM,0,1,1,17,TRUE,1,2,0,1,2,5,1,0,1,3,21,213,70,10,0,1
10,TRAIN,0,1,1,17,FALSE,1,2,0,1,2,5,1,0,1,3,21,243,70,30,0,1
11,CAR,0,1,1,17,FALSE,1,2,0,1,2,5,1,0,1,3,21,0,0,0,0,0
11,SM,0,1,1,17,TRUE,1,2,0,1,2,5,1,0,1,3,21,220,74,30,0,1
11,TRAIN,0,1,1,17,FALSE,1,2,0,1,2,5,1,0,1,3,21,320,70,60,0,1
12,CAR,0,1,1,17,FALSE,1,2,0,1,2,5,1,0,1,3,21,0,0,0,0,0
12,SM,0,1,1,17,TRUE,1,2,0,1,2,5,1,0,1,3,21,216,66,20,0,1
12,TRAIN,0,1,1,17,FALSE,1,2,0,1,2,5,1,0,1,3,21,243,58,30,0,1
13,CAR,0,1,1,17,FALSE,1,2,0,1,2,5,1,0,1,3,21,0,0,0,0,0
13,SM,0,1,1,17,TRUE,1,2,0,1,2,5,1,0,1,3,21,216,57,20,0,1
