custom_id,mode_id,CHOICE,GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,seat_configuration,travel_time,headway,travel_cost,travel_time_hrs,headway_hrs,free_ticket,travel_cost_hundreth,single_luggage_piece,multiple_luggage_pieces,regular_class,train_survey
1,1,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,112,120.0,48,1.86666666667,2.0,0,0.48,0,0,1,1
1,2,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,63,20.0,52,1.05,0.333333333333,0,0.52,0,0,1,1
1,3,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,117,0.0,65,1.95,0.0,0,0.65,0,0,1,1
2,1,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,103,30.0,48,1.71666666667,0.5,0,0.48,0,0,1,1
2,2,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,60,10.0,49,1.0,0.166666666667,0,0.49,0,0,1,1
2,3,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,117,0.0,84,1.95,0.0,0,0.84,0,0,1,1
3,1,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,130,60.0,48,2.16666666667,1.0,0,0.48,0,0,1,1
3,2,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,67,30.0,58,1.11666666667,0.5,0,0.58,0,0,1,1
3,3,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,117,0.0,52,1.95,0.0,0,0.52,0,0,1,1
4,1,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,103,30.0,40,1.71666666667,0.5,0,0.4,0,0,1,1
4,2,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,63,20.0,52,1.05,0.333333333333,0,0.52,0,0,1,1
4,3,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,72,0.0,52,1.2,0.0,0,0.52,0,0,1,1
5,1,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,130,60.0,36,2.16666666667,1.0,0,0.36,0,0,1,1
5,2,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,63,20.0,42,1.05,0.333333333333,0,0.42,0,0,1,1
5,3,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,90,0.0,84,1.5,0.0,0,0.84,0,0,1,1
6,1,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,112,120.0,36,1.86666666667,2.0,0,0.36,0,0,1,1
6,2,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,60,10.0,49,1.0,0.166666666667,0,0.49,0,0,1,1
6,3,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,90,0.0,52,1.5,0.0,0,0.52,0,0,1,1
7,1,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,103,120.0,48,1.71666666667,2.0,0,0.48,0,0,1,1
7,2,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,67,10.0,58,1.11666666667,0.166666666667,0,0.58,0,0,1,1
7,3,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,72,0.0,65,1.2,0.0,0,0.65,0,0,1,1
8,1,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,103,30.0,36,1.71666666667,0.5,0,0.36,0,0,1,1
8,2,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,67,30.0,43,1.11666666667,0.5,0,0.43,0,0,1,1
8,3,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,90,0.0,65,1.5,0.0,0,0.65,0,0,1,1
9,1,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,130,60.0,40,2.16666666667,1.0,0,0.4,0,0,1,1
9,2,1,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,60,10.0,46,1.0,0.166666666667,0,0.46,0,0,1,1
9,3,0,2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,0.0,72,0.0,65,1.2,0.0,0,0.65,0,0,1,1
10,1,0,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,184,120.0,62,3.06666666667,2.0,0,0.62,1,0,1,1
10,2,1,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,76,20.0,70,1.26666666667,0.333333333333,0,0.7,1,0,1,1
11,1,0,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,170,30.0,62,2.83333333333,0.5,0,0.62,1,0,1,1
11,2,1,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,70,10.0,66,1.16666666667,0.166666666667,0,0.66,1,0,1,1
12,1,0,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,213,60.0,62,3.55,1.0,0,0.62,1,0,1,1
12,2,1,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,84,30.0,82,1.4,0.5,0,0.82,1,0,1,1
13,1,0,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,170,30.0,52,2.83333333333,0.5,0,0.52,1,0,1,1
13,2,1,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,76,20.0,72,1.26666666667,0.333333333333,0,0.72,1,0,1,1
14,1,0,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,213,60.0,47,3.55,1.0,0,0.47,1,0,1,1
14,2,1,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,76,20.0,53,1.26666666667,0.333333333333,0,0.53,1,0,1,1
15,1,0,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,184,120.0,47,3.06666666667,2.0,0,0.47,1,0,1,1
15,2,1,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,70,10.0,66,1.16666666667,0.166666666667,0,0.66,1,0,1,1
16,1,0,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,170,120.0,62,2.83333333333,2.0,0,0.62,1,0,1,1
16,2,1,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,84,10.0,82,1.4,0.166666666667,0,0.82,1,0,1,1
17,1,0,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,170,30.0,47,2.83333333333,0.5,0,0.47,1,0,1,1
17,2,1,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,84,30.0,57,1.4,0.5,0,0.57,1,0,1,1
18,1,0,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,213,60.0,52,3.55,1.0,0,0.52,1,0,1,1
18,2,1,2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,0.0,70,10.0,62,1.16666666667,0.166666666667,0,0.62,1,0,1,1
19,1,0,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,0.0,58,30.0,32,0.966666666667,0.5,0,0.32,1,0,1,1
19,2,1,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,0.0,29,10.0,35,0.483333333333,0.166666666667,0,0.35,1,0,1,1
19,3,0,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,0.0,105,0.0,40,1.75,0.0,0,0.4,1,0,1,1
20,1,0,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,0.0,58,30.0,29,0.966666666667,0.5,0,0.29,1,0,1,1
20,2,1,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,0.0,25,20.0,38,0.416666666667,0.333333333333,0,0.38,1,0,1,1
20,3,0,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,0.0,136,0.0,50,2.26666666667,0.0,0,0.5,1,0,1,1
21,1,0,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,0.0,58,120.0,32,0.966666666667,2.0,0,0.32,1,0,1,1
21,2,1,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1.0,27,10.0,40,0.45,0.166666666667,0,0.4,1,0,1,1
21,3,0,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,0.0,136,0.0,65,2.26666666667,0.0,0,0.65,1,0,1,1
22,1,0,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,0.0,47,60.0,29,0.783333333333,1.0,0,0.29,1,0,1,1
22,2,1,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1.0,25,30.0,38,0.416666666667,0.5,0,0.38,1,0,1,1
22,3,0,2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,0.0,84,0.0,65,1.4,0.0,0,0.65,1,0,1,1
