step,obj_values,accepted
1,17694.894458,true
1,17694.894458,true
1,17694.894458,true
1,17694.894458,true
1,17694.894458,true
1,17694.894458,true
1,17694.894458,true
1,17694.894458,true
1,17694.894458,true
1,15970.929536,true
1,15970.929536,true
1,15970.929536,true
1,15970.929536,true
1,15970.929536,true
1,15970.929536,true
1,15970.929536,true
1,15970.929536,true
1,13085.020991,true
1,13085.020991,true
1,14621.859397,false
1,13085.020991,true
1,13085.020991,true
1,13085.020991,true
1,13085.020991,true
1,13085.020991,true
1,13085.020991,true
1,13085.020991,true
1,13085.020991,true
1,15787.281638,false
1,13085.020991,true
1,13085.020991,true
1,13085.020991,true
1,13085.020991,true
1,12958.967039,true
1,12958.967039,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,12856.353137,true
1,13832.006309,false
1,13430.889487,false
1,14868.760795,false
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,13000.153214,false
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,13965.458395,false
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,15577.668635,false
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,15396.233023,false
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
1,12080.8993,true
